"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2026","46,843.0","46,628.0","48,879.0","45,732.0","112.48K","2.52%"
"12/28/2025","45,690.0","46,386.0","46,465.0","45,559.0","13.52K","-1.33%"
"12/21/2025","46,308.0","46,408.0","46,455.0","45,996.0","5.90K","0.08%"
"12/14/2025","46,269.0","46,161.0","46,360.0","45,232.0","18.79K","0.38%"
"12/07/2025","46,092.0","47,298.0","47,352.0","45,978.0","25.47K","-2.09%"
"11/30/2025","47,076.0","46,689.0","47,427.0","46,400.0","25.09K","0.54%"
"11/23/2025","46,823.0","45,636.0","47,000.0","45,410.0","25.64K","4.05%"
"11/16/2025","45,002.0","46,811.0","47,078.0","44,615.0","48.27K","-3.63%"
"11/09/2025","46,697.0","47,176.0","47,970.0","45,580.0","67.25K","1.75%"
"11/02/2025","45,892.0","48,190.0","48,695.0","45,820.0","43.58K","-4.75%"
"10/26/2025","48,183.0","47,088.0","48,736.0","47,010.0","25.83K","3.27%"
"10/19/2025","46,656.0","45,457.0","46,668.0","45,347.0","38.49K","4.13%"
"10/12/2025","44,805.0","45,189.0","45,635.0","44,177.0","49.59K","-0.48%"
"10/05/2025","45,019.0","45,288.0","46,408.0","45,019.0","42.29K","-0.44%"
"09/28/2025","45,219.0","44,787.0","45,472.0","44,330.0","17.13K","1.68%"
"09/21/2025","44,470.0","44,571.0","44,860.0","44,234.0","11.74K","0.11%"
"09/14/2025","44,423.0","43,500.0","44,510.0","43,247.0","20.37K","2.26%"
"09/07/2025","43,440.0","42,920.0","43,440.0","42,840.0","9.73K","1.82%"
"08/31/2025","42,661.5","42,302.0","43,160.0","42,109.0","55.43K","0.64%"
"08/24/2025","42,389.0","42,510.0","42,925.0","42,329.0","18.72K","-0.49%"
"08/17/2025","42,596.0","42,845.0","42,918.0","41,700.0","17.30K","-0.36%"
"08/10/2025","42,751.0","42,952.0","43,193.0","42,645.0","23.94K","-0.11%"
"08/03/2025","42,799.0","42,112.0","42,995.0","42,110.0","12.65K","1.81%"
"07/27/2025","42,038.0","42,667.0","43,817.0","41,766.0","53.35K","-0.75%"
"07/20/2025","42,355.0","42,049.0","42,384.0","41,489.0","14.77K","1.02%"
"07/13/2025","41,926.0","41,194.0","42,097.0","41,061.0","26.00K","1.66%"
"07/06/2025","41,240.0","40,847.0","41,371.0","40,700.0","12.91K","1.21%"
"06/29/2025","40,745.0","40,349.0","40,995.0","39,940.0","13.06K","1.15%"
"06/22/2025","40,281.0","39,300.0","40,285.0","39,291.0","21.90K","2.36%"
"06/15/2025","39,353.0","39,105.0","39,739.0","39,034.0","24.98K","0.49%"
"06/08/2025","39,160.0","39,220.0","39,880.0","38,897.0","22.30K","-0.50%"
"06/01/2025","39,357.0","38,316.0","39,507.0","38,175.0","23.63K","1.86%"
"05/25/2025","38,639.0","38,254.0","39,604.0","38,190.0","15.42K","1.92%"
"05/18/2025","37,911.0","38,777.0","39,211.0","37,460.0","37.24K","-3.73%"
"05/11/2025","39,381.0","37,931.0","39,436.0","37,931.0","24.50K","6.81%"
"05/04/2025","36,871.0","36,537.0","37,261.0","35,921.0","19.12K","-0.10%"
"04/27/2025","36,907.0","35,666.0","36,906.0","34,892.0","36.01K","4.39%"
"04/20/2025","35,354.0","32,959.0","35,581.0","32,786.0","45.55K","5.01%"
"04/13/2025","33,666.0","35,206.0","35,553.0","33,466.0","20.62K","-1.87%"
"04/06/2025","34,307.0","31,140.0","36,219.0","30,891.0","35.72K","1.83%"
"03/30/2025","33,691.0","35,928.0","36,800.0","33,111.0","72.18K","-7.67%"
"03/23/2025","36,491.0","37,709.0","38,468.0","36,496.0","32.96K","-1.93%"
"03/16/2025","37,208.5","37,000.0","37,531.0","36,600.0","11.66K","0.24%"
"03/09/2025","37,120.0","38,089.0","38,105.0","36,400.0","33.13K","-1.14%"
"03/02/2025","37,548.0","40,588.0","40,645.0","37,548.0","41.07K","-6.25%"
"02/23/2025","40,051.0","41,976.0","42,055.0","39,622.0","36.35K","-5.68%"
"02/16/2025","42,464.0","43,014.0","43,166.0","42,367.0","13.51K","-0.71%"
"02/09/2025","42,766.0","42,581.0","43,011.0","42,313.0","10.63K","0.55%"
"02/02/2025","42,531.5","41,888.0","42,914.0","41,625.0","17.19K","-0.72%"
"01/26/2025","42,842.0","41,674.0","43,000.0","40,500.0","24.40K","0.02%"
"01/19/2025","42,831.5","42,969.0","43,459.0","42,564.0","19.22K","-0.41%"
"01/12/2025","43,006.0","41,727.0","43,114.0","41,383.0","25.33K","3.36%"
"01/05/2025","41,608.0","41,957.0","42,434.0","41,423.0","27.42K","-0.55%"
"12/29/2024","41,837.0","41,645.0","41,929.0","41,075.0","18.56K","0.53%"
"12/22/2024","41,618.5","41,713.0","42,515.0","41,462.0","18.56K","-0.03%"
"12/15/2024","41,630.0","42,150.0","42,589.0","40,560.0","51.73K","-0.86%"
"12/08/2024","41,992.5","41,513.0","42,309.0","40,935.0","12.13K","1.40%"
"12/01/2024","41,413.0","40,341.0","41,458.0","40,195.0","18.68K","2.74%"
"11/24/2024","40,309.0","40,613.0","40,790.0","39,860.0","10.64K","-0.35%"
"11/17/2024","40,450.0","39,714.0","40,620.0","39,352.0","20.52K","2.07%"
"11/10/2024","39,628.0","40,155.0","40,781.0","39,545.0","17.29K","-0.77%"
"11/03/2024","39,936.0","37,842.0","39,947.0","37,600.0","22.38K","5.22%"
"10/27/2024","37,955.0","38,646.0","38,855.0","37,642.0","17.41K","-1.64%"
"10/20/2024","38,587.0","38,062.0","38,677.0","37,910.0","22.33K","1.19%"
"10/13/2024","38,135.0","37,921.0","38,455.0","37,650.0","21.10K","0.66%"
"10/06/2024","37,885.0","37,300.0","37,980.0","36,985.0","8.93K","2.12%"
"09/29/2024","37,100.0","36,499.0","37,500.0","36,176.0","20.57K","1.52%"
"09/22/2024","36,543.0","36,483.0","37,179.0","36,031.0","16.61K","0.80%"
"09/15/2024","36,252.0","36,176.0","36,725.0","35,738.0","9.25K","-0.10%"
"09/08/2024","36,288.0","34,644.0","36,303.0","34,573.0","7.03K","5.51%"
"09/01/2024","34,393.0","36,333.0","36,496.0","34,360.0","18.66K","-4.83%"
"08/25/2024","36,139.5","36,219.0","36,476.0","35,685.0","","-0.91%"
"08/18/2024","36,470.0","36,753.0","37,356.0","36,266.0","10.36K","-1.08%"
"08/11/2024","36,868.5","35,493.0","37,215.0","35,327.0","19.73K","4.59%"
"08/04/2024","35,251.5","33,665.0","35,528.0","33,114.0","74.04K","0.46%"
"07/28/2024","35,090.0","36,445.0","37,337.0","34,839.0","47.38K","-2.71%"
"07/21/2024","36,069.0","37,159.0","37,668.0","35,600.0","53.27K","-2.58%"
"07/14/2024","37,025.0","38,498.0","38,740.0","36,987.0","17.23K","-3.78%"
"07/07/2024","38,478.0","38,923.0","39,314.0","38,070.0","21.43K","-0.87%"
"06/30/2024","38,814.0","38,115.0","38,827.0","37,798.0","14.05K","0.97%"
"06/23/2024","38,441.0","38,130.0","38,735.0","37,515.0","22.98K","0.69%"
"06/16/2024","38,176.0","37,992.0","38,738.0","37,869.3","9.18K","1.06%"
"06/09/2024","37,776.5","36,536.0","37,966.0","36,474.0","10.38K","3.16%"
"06/02/2024","36,618.0","35,755.0","36,660.3","35,375.0","10.62K","4.26%"
"05/26/2024","35,121.0","36,096.2","36,500.0","35,121.0","18.38K","-2.81%"
"05/19/2024","36,138.0","35,784.0","36,413.0","35,734.6","18.26K","1.10%"
"05/12/2024","35,744.0","35,517.0","36,044.0","35,315.0","10.09K","0.89%"
"05/05/2024","35,430.0","35,228.0","35,595.0","35,183.0","19.55K","1.82%"
"04/28/2024","34,798.0","34,690.0","34,917.0","33,865.2","11.44K","0.23%"
"04/21/2024","34,717.0","33,880.0","34,828.0","33,693.1","15.60K","2.57%"
"04/14/2024","33,847.0","35,488.0","35,657.0","33,757.2","24.70K","-4.81%"
"04/07/2024","35,559.0","35,490.0","35,794.0","34,581.0","17.83K","1.52%"
"03/31/2024","35,027.0","35,643.0","35,818.0","34,675.0","15.52K","-0.80%"
"03/24/2024","35,311.0","35,541.0","35,572.0","35,165.9","7.40K","-0.54%"
"03/17/2024","35,504.0","34,350.0","35,680.0","34,283.0","5.56K","3.88%"
"03/10/2024","34,179.0","34,339.0","34,936.0","34,118.0","14.29K","-1.37%"
"03/03/2024","34,654.0","35,372.0","35,442.0","34,345.0","11.64K","-1.58%"
"02/25/2024","35,209.0","34,565.0","35,255.0","34,406.0","21.49K","1.50%"
"02/18/2024","34,688.5","34,304.0","34,885.0","33,558.0","13.91K","0.27%"
"02/11/2024","34,593.5","34,746.6","34,941.0","34,013.1","14.65K","-0.20%"
"02/04/2024","34,664.0","34,131.0","34,709.3","33,999.0","12.74K","1.84%"
"01/28/2024","34,039.0","33,570.0","34,039.0","33,006.0","33.21K","1.13%"
"01/21/2024","33,659.0","33,486.0","33,921.0","33,245.0","26.34K","1.75%"
"01/14/2024","33,081.0","32,377.0","33,088.0","32,044.0","16.19K","2.48%"
"01/07/2024","32,280.0","31,355.0","32,416.0","31,305.6","20.57K","2.72%"
"12/31/2023","31,424.0","32,351.0","32,375.0","31,336.0","13.76K","-3.17%"
"12/24/2023","32,452.0","32,420.0","32,595.0","32,194.0","5.75K","0.79%"
"12/17/2023","32,197.0","32,034.0","32,557.8","31,994.8","17.59K","0.34%"
"12/10/2023","32,089.0","31,326.0","32,275.9","31,217.0","12.11K","2.57%"
"12/03/2023","31,284.0","30,787.0","31,401.2","30,474.0","10.46K","1.61%"
"11/26/2023","30,789.0","30,952.0","31,155.0","30,675.0","4.78K","-0.66%"
"11/19/2023","30,992.5","31,014.0","31,580.0","30,942.0","8.43K","-0.47%"
"11/12/2023","31,139.0","30,944.0","31,434.0","30,801.0","19.49K","1.06%"
"11/05/2023","30,811.5","29,890.0","30,843.0","29,787.0","17.38K","3.16%"
"10/29/2023","29,868.0","28,912.0","29,900.0","28,564.0","11.34K","3.92%"
"10/22/2023","28,740.0","29,364.0","29,687.0","28,600.0","6.56K","-1.98%"
"10/15/2023","29,320.0","30,253.9","30,517.0","29,314.0","9.70K","-3.23%"
"10/08/2023","30,298.5","29,851.0","30,703.1","29,699.0","16.75K","2.26%"
"10/01/2023","29,630.0","29,668.0","30,110.0","29,298.0","18.01K","-0.06%"
"09/24/2023","29,647.0","29,465.0","29,853.1","29,099.0","7.33K","0.12%"
"09/17/2023","29,610.0","30,048.0","30,130.0","29,316.0","5.98K","-1.48%"
"09/10/2023","30,055.0","30,036.0","30,539.0","29,901.0","15.91K","-0.21%"
"09/03/2023","30,119.0","30,111.0","30,312.0","29,743.3","9.84K","0.13%"
"08/27/2023","30,079.0","29,254.0","30,169.4","29,175.0","16.53K","4.35%"
"08/20/2023","28,824.0","28,216.0","29,660.0","27,857.4","23.38K","2.60%"
"08/13/2023","28,093.5","28,951.0","29,326.0","27,978.0","23.05K","-2.65%"
"08/06/2023","28,857.0","29,488.8","29,549.0","28,857.0","7.17K","-2.55%"
"07/30/2023","29,613.0","29,916.0","30,186.8","29,368.3","9.70K","-1.20%"
"07/23/2023","29,973.0","29,343.0","30,070.0","29,161.0","18.14K","1.50%"
"07/16/2023","29,529.0","29,091.0","30,220.5","29,045.8","9.91K","1.04%"
"07/09/2023","29,225.5","28,568.0","29,322.9","28,393.0","10.99K","1.51%"
"07/02/2023","28,791.0","29,310.0","29,418.0","28,500.0","8.69K","-1.20%"
"06/25/2023","29,141.0","28,642.0","29,236.0","28,256.0","7.86K","1.95%"
"06/18/2023","28,582.5","28,832.0","29,047.9","28,200.0","5.91K","-1.21%"
"06/11/2023","28,932.0","28,425.2","29,132.0","28,381.0","15.92K","2.29%"
"06/04/2023","28,285.0","28,608.0","28,887.0","27,956.0","13.84K","-1.13%"
"05/28/2023","28,607.0","28,496.0","28,607.0","27,850.0","14.18K","1.41%"
"05/21/2023","28,210.0","27,183.0","28,229.3","26,775.0","8.91K","4.13%"
"05/14/2023","27,090.0","26,249.0","27,368.6","26,010.0","12.68K","3.62%"
"05/07/2023","26,143.5","25,696.0","26,268.0","25,497.9","5.24K","2.22%"
"04/30/2023","25,574.5","25,943.0","26,007.0","25,142.0","11.36K","0.04%"
"04/23/2023","25,565.0","25,472.7","25,786.0","25,116.7","9.56K","-0.15%"
"04/16/2023","25,603.0","25,813.0","25,964.0","25,447.0","15.96K","-0.24%"
"04/09/2023","25,664.5","25,723.0","25,822.0","25,157.0","14.35K","0.64%"
"04/02/2023","25,501.0","26,070.0","26,077.0","25,300.0","18.38K","-1.31%"
"03/26/2023","25,840.0","25,585.0","25,852.0","24,877.3","10.16K","1.98%"
"03/19/2023","25,338.0","25,009.0","25,625.6","24,761.7","21.88K","0.56%"
"03/12/2023","25,196.0","24,349.0","25,482.0","23,500.0","24.88K","2.84%"
"03/05/2023","24,501.0","25,075.0","25,358.6","24,080.0","42.96K","-1.59%"
"02/26/2023","24,896.5","24,600.0","25,180.0","24,000.0","7.80K","1.68%"
"02/19/2023","24,484.0","25,031.0","25,999.0","24,058.0","12.23K","-2.10%"
"02/12/2023","25,010.0","24,924.0","25,879.2","24,910.0","9.57K","0.40%"
"02/05/2023","24,910.5","25,391.0","25,771.2","24,729.0","15.08K","-4.02%"
"01/29/2023","25,954.0","23,843.0","25,954.0","23,488.0","26.98K","8.40%"
"01/22/2023","23,942.0","22,881.0","23,962.0","22,847.0","12.48K","5.60%"
"01/15/2023","22,672.0","23,047.0","23,133.0","22,280.0","9.31K","-0.87%"